STK_D_Code,STK_D_SWCode
300297,JSJ
300298,YYSW
300299,TX
300300,JSJ
300301,DZ
300302,JSJ
300303,DZ
300304,QC
300305,HG
300306,JXSB
300307,JXSB
300308,DQSB
300309,JXSB
300310,TX
300311,JSJ
300312,TX
300313,NLMY
300314,YYSW
300315,CM
300316,DQSB
300317,DZ
300318,YYSW
300319,DZ
300320,HG
300321,HG
300322,DZ
300323,DZ
300324,JSJ
300325,HG
300326,YYSW
300327,DZ
300328,DZ
300329,QGZZ
300330,JSJ
300331,DZ
300332,GYSY
300333,JSJ
300334,GYSY
300335,GYSY
300336,CM
300337,YSJS
300338,JXSB
300339,JSJ
300340,DZ
300341,DQSB
300342,JYDQ
300343,HG
300344,JZCL
300345,JXSB
300346,DZ
300347,YYSW
300348,JSJ
300349,JXSB
300350,JTYS
300351,JXSB
300352,JSJ
300353,TX
300354,JXSB
300355,JZZS
300356,DQSB
300357,YYSW
300358,YYSW
300359,CM
300360,DQSB
300362,DQSB
300363,YYSW
300364,CM
300365,JSJ
300366,JSJ
300367,JSJ
300368,JSJ
300369,JSJ
300370,CJ
300371,JXSB
300372,DQSB
300373,DZ
300374,JZCL
300375,QC
300376,DQSB
300377,JSJ
300378,JSJ
300379,JSJ
300380,JSJ
300381,YYSW
300382,JXSB
300383,CM
300384,JSJ
300385,JXSB
300386,JSJ
300387,HG
300388,GYSY
300389,DZ
300390,DZ
300391,JXSB
300392,CM
300393,DQSB
300394,DZ
300395,YSJS
300396,YYSW
300397,JXSB
300398,HG
300399,JSJ
300400,JXSB
300401,YYSW
300402,JXSB
300403,JYDQ
300404,YYSW
300405,HG
300406,YYSW
300407,DQSB
300408,DZ
300409,HG
300410,DZ
300411,JXSB
300412,YYSW
300413,SYMY
300414,DQSB
300415,JXSB
300416,JXSB
300417,JXSB
300418,CM
300419,JSJ
300420,JXSB
300421,JXSB
300422,GYSY
300423,DQSB
300424,GFJG
300425,GYSY
300426,CM
300427,DQSB
300428,YSJS
300429,HG
300430,JXSB
300431,CM
300432,QC
300433,DZ
300434,JXSB
300435,JXSB
300436,YYSW
300437,HG
300438,DZ
300439,YYSW
300440,JSJ
300441,JXSB
300442,JXSB
300443,JXSB
300444,DQSB
300445,JXSB
300446,DZ
300447,DQSB
300448,JSJ
300449,JSJ
300450,JXSB
300451,JSJ
300452,YYSW
300453,YYSW
300455,JSJ
300456,GFJG
300457,JXSB
300458,DZ
300459,HG
300460,DZ
300461,JXSB
300462,JSJ
300463,YYSW
300464,JXSB
300465,JSJ
300466,DQSB
300467,TX
300468,JSJ
300469,JSJ
300470,JXSB
300471,JXSB
300472,JXSB
300473,QC
300474,GFJG
300475,JYDQ
300476,DZ
300477,DQSB
300478,HG
300479,JSJ
300480,JXSB
300481,HG
300482,YYSW
300483,JXSB
300484,DQSB
300485,YYSW
300486,JXSB
300487,HG
300488,JXSB
300489,YSJS
300490,DQSB
300491,DQSB
300492,JZZS
300493,DZ
300494,CM
300495,JZZS
300496,JSJ
300497,YYSW
300498,NLMY
300499,JXSB
300500,JZZS
300501,QGZZ
300502,DZ
300503,JXSB
300505,HG
300506,JZZS
300507,QC
300508,JSJ
300509,JXSB
300510,DQSB
300511,NLMY
600000,YH
600004,JTYS
600005,GT
600006,QC
600007,FDC
600008,GYSY
600009,JTYS
600010,GT
600011,GYSY
600012,JTYS
600015,YH
600016,YH
600017,JTYS
600018,JTYS
600019,GT
600020,JTYS
600021,GYSY
600022,GT
600023,GYSY
600026,JTYS
600027,GYSY
600028,HG
600029,JTYS
600030,FYJR
600031,JXSB
600033,JTYS
600035,JTYS
600036,YH
600037,CM
600038,GFJG
600039,JZZS
600048,FDC
600050,TX
600051,ZH
600052,FDC
600053,ZH
600054,XXFW
600055,YYSW
600056,YYSW
600057,JTYS
600058,SYMY
600059,SPYL
600060,JYDQ
600061,HG
600062,YYSW
600063,HG
600064,FDC
600066,QC
600067,FDC
600068,JZZS
600069,QGZZ
600070,FZFZ
600071,DZ
600072,GFJG
600073,SPYL
600074,DZ
600075,HG
600076,TX
600077,JTYS
600078,HG
600079,YYSW
600080,YYSW
600081,QC
600082,SYMY
600083,ZH
600084,SPYL
600085,YYSW
600086,QGZZ
600088,CM
600089,DQSB
600090,SPYL
600091,HG
600093,QC
600094,HG
600095,FDC
600096,HG
600097,NLMY
600098,GYSY
600099,QC
600100,JSJ
600101,GYSY
600103,QGZZ
600104,QC
600105,TX
600106,JTYS
600107,FZFZ
600108,NLMY
600109,FYJR
600110,DQSB
600111,YSJS
600112,DQSB
600113,FDC
600114,YSJS
600115,JTYS
600116,GYSY
600117,GT
600118,GFJG
600119,JTYS
600120,SYMY
600121,CJ
600122,SYMY
600123,CJ
600125,JTYS
600126,GT
600127,NLMY
600128,SYMY
600129,YYSW
600130,TX
600131,GYSY
600132,SPYL
600133,ZH
600135,QGZZ
600136,ZH
600137,FZFZ
600138,XXFW
600139,YSJS
600141,HG
600143,HG
600145,JZCL
600146,YSJS
600148,QC
600149,FDC
600150,GFJG
600151,DQSB
600152,FZFZ
600153,JTYS
600155,HG
600156,FZFZ
600157,CJ
600158,FDC
600159,FDC
600160,HG
600161,YYSW
600162,FDC
600163,QGZZ
600165,JXSB
600166,QC
600167,GYSY
600168,GYSY
600169,JXSB
600170,JZZS
600171,DZ
600172,JXSB
